ID,Assignments (100),Midterm (100),Final (100),Assignments (30%),Midterm (35%),Final (35%),Total (100%),Grade
XX01001,87,57,60,,,,,
XX01002,17,93,80,,,,,
XX01003,50,47,40,,,,,
XX01004,97,37,62,,,,,
XX01005,13,83,0,,,,,
XX01006,70,3,40,,,,,
XX01007,87,60,0,,,,,
XX01008,33,37,80,,,,,
XX01009,27,77,2,,,,,
XX01010,27,3,25,,,,,
XX01011,17,43,18,,,,,
XX01012,70,27,82,,,,,
XX01013,40,13,28,,,,,
XX01014,0,40,75,,,,,
XX01015,37,43,30,,,,,
XX01016,20,67,30,,,,,
XX01017,10,63,0,,,,,
XX01018,7,57,78,,,,,
XX01019,87,100,8,,,,,
XX01020,70,97,80,,,,,
XX01021,83,100,50,,,,,
XX01022,23,3,45,,,,,
XX01023,30,40,32,,,,,
XX01024,53,43,95,,,,,
XX01025,60,60,32,,,,,
XX01026,13,63,80,,,,,
XX01027,73,30,30,,,,,
XX01028,17,67,2,,,,,
XX01029,17,10,40,,,,,
XX01030,57,7,40,,,,,
XX01031,0,0,52,,,,,
XX01032,50,53,45,,,,,
XX01033,3,70,75,,,,,
XX01034,0,33,22,,,,,
XX01035,87,67,8,,,,,
XX01036,87,3,50,,,,,
XX01037,60,20,65,,,,,
XX01038,47,7,55,,,,,
XX01039,27,3,80,,,,,
XX01040,50,0,10,,,,,
XX01041,100,30,12,,,,,
XX01042,17,20,90,,,,,
XX01043,40,30,22,,,,,
XX01044,43,0,52,,,,,
XX01045,67,60,85,,,,,
XX01046,20,90,82,,,,,
XX01047,93,37,32,,,,,
XX01048,47,27,25,,,,,
XX01049,63,20,60,,,,,
XX01050,3,13,20,,,,,
XX01051,10,53,8,,,,,
XX01052,100,50,82,,,,,
XX01053,43,60,55,,,,,
XX01054,20,97,40,,,,,
XX01055,53,47,52,,,,,
XX01056,3,27,22,,,,,
XX01057,43,73,50,,,,,
XX01058,40,53,100,,,,,
XX01059,20,70,20,,,,,
XX01060,53,0,50,,,,,
XX01061,27,87,92,,,,,
XX01062,40,63,75,,,,,
XX01063,77,30,12,,,,,
XX01064,47,73,75,,,,,
XX01065,60,7,48,,,,,
XX01066,73,73,62,,,,,
XX01067,67,60,22,,,,,
XX01068,80,67,70,,,,,
XX01069,47,87,90,,,,,
XX01070,37,53,78,,,,,
XX01071,3,73,18,,,,,
XX01072,67,20,95,,,,,
XX01073,73,97,95,,,,,
XX01074,57,37,65,,,,,
XX01075,27,73,50,,,,,
XX01076,67,3,60,,,,,
XX01077,33,43,20,,,,,
XX01078,37,93,32,,,,,
XX01079,53,53,100,,,,,
XX01080,67,53,65,,,,,
XX01081,7,67,82,,,,,
XX01082,37,20,65,,,,,
XX01083,53,67,85,,,,,
XX01084,33,30,60,,,,,
XX01085,77,17,70,,,,,
XX01086,80,10,2,,,,,
XX01087,0,97,55,,,,,
XX01088,67,73,85,,,,,
XX01089,33,17,100,,,,,
